prep,compound_text,advcl_text,neg_text,parataxis_text,punct,relcl_text,nmod,aux_text,aux,compound,amod,advmod_text,cc,poss,pobj_text,auxpass,nsubj,parataxis,mark,advcl,auxpass_text,ccomp,dobj_text,ROOT,prep_text,punct_text,pcomp_text,relcl,nmod_text,mark_text,neg,poss_text,dobj,ccomp_text,oprd,pcomp,det,nsubjpass,nummod_text,conj,xcomp,nummod,ROOT_text,text,det_text,cc_text,pobj,nsubj_text,xcomp_text,amod_text,oprd_text,nsubjpass_text,advmod,conj_text
,SMTP,,,,.,,,,,SMTP,,,,,,,instance,,,,,,connection,encapsulate,,.,,,,,,,connection,,,,an,,,,,,encapsulates,An SMTP instance encapsulates an SMTP connection.,an,,,instance,,,,,,
of,,,,,.,support,SMTP,,,,full,,and,,operations,,that,,,,,,repertoire,have,of,.,,support,SMTP,,,,repertoire,,,,a,,,esmtp,,,has,It has methods that support a full repertoire of SMTP and ESMTP operations.,a,and,operation,that,,full,,,,ESMTP
during,SMTP,given,,,.,,host,,,SMTP,optional,,and,connect,initialization,be,,,if,give,is,,,call,during,.,,,host,If,,connect,,,,,those,method,,port,,,called,"If the optional host and port parameters are given, the SMTP connect() method is called with those parameters during initialization.",those,and,initialization,,,optional,,method,,port
in,EHLO,specified,,,.,,HELO,,,EHLO,local,,,,command,be,,,if,specify,is,,,use,in,.,,,HELO,If,,,,,,,the,local_hostname,,,,,used,"If specified, local_hostname is used as the FQDN of the local host in the HELO/EHLO command.",the,,command,,,local,,local_hostname,,
,,,,,.,,,,,,local,Otherwise,,,,be,,,,,is,,socket.getfqdn,find,,.,,,,,,,socket.getfqdn,,,,the,hostname,,,use,,found,"Otherwise, the local hostname is found using socket.getfqdn().",the,,,,using,local,,hostname,otherwise,
than,success,call,,,.,,,,,success,other,,,,code,be,,,if,call,is,,returns,raise,than,.,,,,If,,,return,,anything,,an,smtpconnecterror,,,,,raised,"If the connect() call returns anything other than a success code, an SMTPConnectError is raised.",an,,code,,,other,anything,SMTPConnectError,,
like,timeout,specified,not,used,.,,,will,will,timeout,global,,,,attempt,be,parameter,use,if,specify,be,,operations,specify,like,.,blocking,,,if,not,,operation,,,block,the,setting,,,,,specifies,"The optional timeout parameter specifies a timeout in seconds for blocking operations like the connection attempt (if not specified, the global default timeout setting will be used).",the,,attempt,parameter,,global,,setting,,
,,expires,,,.,,,,,,,,,,,be,timeout,,if,expire,is,,,raise,,.,,,,If,,,,,,,the,TimeoutError,,,,,raised,"If the timeout expires, TimeoutError is raised.",the,,,timeout,,,,TimeoutError,,
to,TCP,,,,.,,,,,tcp,specific,,and/or,,port,,parameter,,,,,bind,,allow,to,.,,,,,,,,binding,,,some,,,,,,allows,"The optional source_address parameter allows binding to some specific source address in a machine with multiple network interfaces, and/or to some specific source TCP port.",some,and/or,port,parameter,,specific,,,,
before,source,bind,,,.,,host,to,to,source,,,,its,address,,socket,,for,bind,,,port,take,before,.,connecting,,host,for,,its,port,,,connect,the,,2,,,2,takes,"It takes a 2-tuple (host, port), for the socket to bind to as its source address before connecting.",the,,address,socket,,,,,,
,,,,,0,,,,,,,,and/or,,,,host,,if,,,,,omit,,0,,,,if,,,,,,,,,,be,,,omitted,If omitted (or if host or port are '' and/or 0,,and/or,,host,,,,,,are
,default,,,,.,,,will,will,default,,respectively,,,,be,,,,,be,,,use,,.,,,,,,,,,,,the,behavior,,,,,used,respectively) the OS default behavior will be used.,the,,,,,,,behavior,respectively,
